Malformed or incomplete keys detected in Eurostat JSON (GDP):
Key: 53 -- Dims: [53] -- IDs: ['unit', 'geo', 'time']
Key: 54 -- Dims: [54] -- IDs: ['unit', 'geo', 'time']
Key: 55 -- Dims: [55] -- IDs: ['unit', 'geo', 'time']
Key: 56 -- Dims: [56] -- IDs: ['unit', 'geo', 'time']
Key: 57 -- Dims: [57] -- IDs: ['unit', 'geo', 'time']
Key: 58 -- Dims: [58] -- IDs: ['unit', 'geo', 'time']
Key: 59 -- Dims: [59] -- IDs: ['unit', 'geo', 'time']
Key: 210 -- Dims: [210] -- IDs: ['unit', 'geo', 'time']
Key: 211 -- Dims: [211] -- IDs: ['unit', 'geo', 'time']
Key: 212 -- Dims: [212] -- IDs: ['unit', 'geo', 'time']
Key: 213 -- Dims: [213] -- IDs: ['unit', 'geo', 'time']
Key: 214 -- Dims: [214] -- IDs: ['unit', 'geo', 'time']
Key: 215 -- Dims: [215] -- IDs: ['unit', 'geo', 'time']
Key: 216 -- Dims: [216] -- IDs: ['unit', 'geo', 'time']
Key: 217 -- Dims: [217] -- IDs: ['unit', 'geo', 'time']
Key: 218 -- Dims: [218] -- IDs: ['unit', 'geo', 'time']
Key: 219 -- Dims: [219] -- IDs: ['unit', 'geo', 'time']
Key: 220 -- Dims: [220] -- IDs: ['unit', 'geo', 'time']
Key: 221 -- Dims: [221] -- IDs: ['unit', 'geo', 'time']
Key: 222 -- Dims: [222] -- IDs: ['unit', 'geo', 'time']
Key: 223 -- Dims: [223] -- IDs: ['unit', 'geo', 'time']
Key: 224 -- Dims: [224] -- IDs: ['unit', 'geo', 'time']
Key: 225 -- Dims: [225] -- IDs: ['unit', 'geo', 'time']
Key: 226 -- Dims: [226] -- IDs: ['unit', 'geo', 'time']
Key: 227 -- Dims: [227] -- IDs: ['unit', 'geo', 'time']
Key: 228 -- Dims: [228] -- IDs: ['unit', 'geo', 'time']
Key: 229 -- Dims: [229] -- IDs: ['unit', 'geo', 'time']
Key: 230 -- Dims: [230] -- IDs: ['unit', 'geo', 'time']
Key: 231 -- Dims: [231] -- IDs: ['unit', 'geo', 'time']
Key: 232 -- Dims: [232] -- IDs: ['unit', 'geo', 'time']
Key: 233 -- Dims: [233] -- IDs: ['unit', 'geo', 'time']
Key: 234 -- Dims: [234] -- IDs: ['unit', 'geo', 'time']
Key: 235 -- Dims: [235] -- IDs: ['unit', 'geo', 'time']
Key: 236 -- Dims: [236] -- IDs: ['unit', 'geo', 'time']
Key: 237 -- Dims: [237] -- IDs: ['unit', 'geo', 'time']
Key: 238 -- Dims: [238] -- IDs: ['unit', 'geo', 'time']
Key: 239 -- Dims: [239] -- IDs: ['unit', 'geo', 'time']
Key: 270 -- Dims: [270] -- IDs: ['unit', 'geo', 'time']
Key: 271 -- Dims: [271] -- IDs: ['unit', 'geo', 'time']
Key: 272 -- Dims: [272] -- IDs: ['unit', 'geo', 'time']
Key: 273 -- Dims: [273] -- IDs: ['unit', 'geo', 'time']
Key: 274 -- Dims: [274] -- IDs: ['unit', 'geo', 'time']
Key: 275 -- Dims: [275] -- IDs: ['unit', 'geo', 'time']
Key: 276 -- Dims: [276] -- IDs: ['unit', 'geo', 'time']
Key: 277 -- Dims: [277] -- IDs: ['unit', 'geo', 'time']
Key: 278 -- Dims: [278] -- IDs: ['unit', 'geo', 'time']
Key: 279 -- Dims: [279] -- IDs: ['unit', 'geo', 'time']
Key: 280 -- Dims: [280] -- IDs: ['unit', 'geo', 'time']
Key: 281 -- Dims: [281] -- IDs: ['unit', 'geo', 'time']
Key: 282 -- Dims: [282] -- IDs: ['unit', 'geo', 'time']
Key: 283 -- Dims: [283] -- IDs: ['unit', 'geo', 'time']
Key: 284 -- Dims: [284] -- IDs: ['unit', 'geo', 'time']
Key: 285 -- Dims: [285] -- IDs: ['unit', 'geo', 'time']
Key: 286 -- Dims: [286] -- IDs: ['unit', 'geo', 'time']
Key: 287 -- Dims: [287] -- IDs: ['unit', 'geo', 'time']
Key: 288 -- Dims: [288] -- IDs: ['unit', 'geo', 'time']
Key: 289 -- Dims: [289] -- IDs: ['unit', 'geo', 'time']
Key: 290 -- Dims: [290] -- IDs: ['unit', 'geo', 'time']
Key: 291 -- Dims: [291] -- IDs: ['unit', 'geo', 'time']
Key: 292 -- Dims: [292] -- IDs: ['unit', 'geo', 'time']
Key: 293 -- Dims: [293] -- IDs: ['unit', 'geo', 'time']
Key: 294 -- Dims: [294] -- IDs: ['unit', 'geo', 'time']
Key: 295 -- Dims: [295] -- IDs: ['unit', 'geo', 'time']
Key: 296 -- Dims: [296] -- IDs: ['unit', 'geo', 'time']
Key: 297 -- Dims: [297] -- IDs: ['unit', 'geo', 'time']
Key: 298 -- Dims: [298] -- IDs: ['unit', 'geo', 'time']
Key: 299 -- Dims: [299] -- IDs: ['unit', 'geo', 'time']
Key: 300 -- Dims: [300] -- IDs: ['unit', 'geo', 'time']
Key: 301 -- Dims: [301] -- IDs: ['unit', 'geo', 'time']
Key: 302 -- Dims: [302] -- IDs: ['unit', 'geo', 'time']
Key: 303 -- Dims: [303] -- IDs: ['unit', 'geo', 'time']
Key: 304 -- Dims: [304] -- IDs: ['unit', 'geo', 'time']
Key: 305 -- Dims: [305] -- IDs: ['unit', 'geo', 'time']
Key: 306 -- Dims: [306] -- IDs: ['unit', 'geo', 'time']
Key: 307 -- Dims: [307] -- IDs: ['unit', 'geo', 'time']
Key: 308 -- Dims: [308] -- IDs: ['unit', 'geo', 'time']
Key: 309 -- Dims: [309] -- IDs: ['unit', 'geo', 'time']
Key: 310 -- Dims: [310] -- IDs: ['unit', 'geo', 'time']
Key: 311 -- Dims: [311] -- IDs: ['unit', 'geo', 'time']
Key: 312 -- Dims: [312] -- IDs: ['unit', 'geo', 'time']
Key: 313 -- Dims: [313] -- IDs: ['unit', 'geo', 'time']
Key: 314 -- Dims: [314] -- IDs: ['unit', 'geo', 'time']
Key: 315 -- Dims: [315] -- IDs: ['unit', 'geo', 'time']
Key: 316 -- Dims: [316] -- IDs: ['unit', 'geo', 'time']
Key: 317 -- Dims: [317] -- IDs: ['unit', 'geo', 'time']
Key: 318 -- Dims: [318] -- IDs: ['unit', 'geo', 'time']
Key: 319 -- Dims: [319] -- IDs: ['unit', 'geo', 'time']
Key: 320 -- Dims: [320] -- IDs: ['unit', 'geo', 'time']
Key: 321 -- Dims: [321] -- IDs: ['unit', 'geo', 'time']
Key: 322 -- Dims: [322] -- IDs: ['unit', 'geo', 'time']
Key: 323 -- Dims: [323] -- IDs: ['unit', 'geo', 'time']
Key: 324 -- Dims: [324] -- IDs: ['unit', 'geo', 'time']
Key: 325 -- Dims: [325] -- IDs: ['unit', 'geo', 'time']
Key: 326 -- Dims: [326] -- IDs: ['unit', 'geo', 'time']
Key: 327 -- Dims: [327] -- IDs: ['unit', 'geo', 'time']
