geo,time,sex,alcohol_every_day_pct,alcohol_every_month_pct,alcohol_every_week_pct,alcohol_less_than_once_a_month_pct,alcohol_never_or_not_in_the_last_12_months_pct,alcohol_never_pct,alcohol_not_in_the_last_12_months_pct,gdp_per_capita,healthy_life_expectancy
Slovakia,2014,Males,11.1,25.6,26.1,22.0,15.3,9.1,6.2,14100.0,36.699999999999996
Slovakia,2014,Total,5.7,24.0,17.8,27.0,25.6,16.7,8.9,14100.0,33.98333333333333
Slovakia,2019,Females,0.3,24.9,4.5,23.1,47.1,27.2,19.9,16450.0,34.0
Slovakia,2019,Males,8.5,17.9,35.0,24.1,14.6,8.5,6.1,16450.0,37.1
Slovakia,2019,Total,4.7,21.3,19.5,23.7,30.8,17.6,13.3,16450.0,35.38333333333333
Slovenia,2014,Females,3.1,21.4,12.0,22.1,41.3,27.9,13.4,18230.0,40.96666666666667
Slovenia,2014,Males,15.2,20.0,32.7,10.9,21.1,8.5,12.6,18230.0,41.88333333333333
Slovenia,2014,Total,9.2,20.8,22.4,16.5,31.1,18.2,13.0,18230.0,41.36666666666667
Slovenia,2019,Females,2.6,19.4,11.5,22.0,44.6,30.2,14.4,21570.0,41.43333333333333
Slovenia,2019,Males,12.0,20.5,31.0,12.4,24.1,12.2,11.9,21570.0,44.76666666666667
Slovenia,2019,Total,7.0,20.0,20.8,17.5,34.7,21.5,13.3,21570.0,42.78333333333333
Spain,2014,Females,6.6,19.9,16.9,15.3,41.3,31.2,10.1,22500.0,43.650000000000006
Spain,2014,Males,17.9,18.2,29.3,9.0,25.6,15.5,10.1,22500.0,48.26666666666667
Spain,2014,Total,12.1,19.1,22.7,12.3,33.8,23.7,10.1,22500.0,45.71666666666667
Spain,2019,Females,5.2,18.9,20.6,14.4,41.0,29.5,11.6,25520.0,50.28333333333334
Spain,2019,Males,17.1,19.3,27.7,7.9,28.0,19.8,8.2,25520.0,53.9
Spain,2019,Total,11.0,19.0,24.0,11.3,34.7,24.7,10.0,25520.0,51.9
Sweden,2014,Females,1.7,23.1,25.8,18.1,31.3,24.4,6.9,44690.0,59.81666666666666
Sweden,2014,Males,5.3,24.2,38.6,12.2,19.8,14.0,5.8,44690.0,61.51666666666667
Sweden,2014,Total,3.3,23.6,31.9,15.3,25.9,19.4,6.5,44690.0,60.68333333333334
Sweden,2019,Females,1.2,24.4,27.3,18.7,28.4,22.0,6.4,47910.0,59.36666666666667
Sweden,2019,Males,3.3,26.1,35.7,12.7,22.2,15.9,6.3,47910.0,62.15
Sweden,2019,Total,2.2,25.3,31.4,15.7,25.4,18.9,6.4,47910.0,60.666666666666664
United Kingdom,2014,Females,3.9,17.3,32.2,17.5,29.1,17.9,11.1,,46.9
United Kingdom,2014,Males,8.7,16.5,44.2,11.7,18.9,11.7,7.2,,47.583333333333336
United Kingdom,2014,Total,6.2,16.9,37.8,14.8,24.3,15.0,9.3,,47.23333333333333
